B,seed,kappa,delta,alpha,T_eff
8,0,74.34729766845703,0.4948912262916565,0.7034172854262256,4.9618764023762196e-05
8,1,87.3508529663086,0.4990234076976776,0.6951022751170364,1.2311308637436014e-05
8,2,44.160037994384766,0.4920489490032196,0.7091770775946709,4.514669853961095e-05
8,3,31.420761108398438,0.4611838459968567,0.7739585172265526,0.00018108071526512504
8,4,46.37770080566406,0.4470044672489166,0.805186690573053,1.653996150707826e-05
8,5,16.38597869873047,0.4960609972476959,0.7010563814964539,0.00010465474042575806
8,6,60.56110763549805,0.4960421323776245,0.7010944115550443,9.347450395580381e-05
8,7,133.56785583496094,0.48894673585891724,0.7155017200638718,5.3610165196005255e-05
8,8,19.434057235717773,0.4889979958534241,0.7153968879749172,0.00011318072210997343
8,9,53.824710845947266,0.49970829486846924,0.6937307610729926,3.75502095266711e-05
8,10,26.36602210998535,0.484319806098938,0.7250098340661365,4.8014298954512924e-05
8,11,80.17234802246094,0.4900364279747009,0.71327554783524,9.808967297431082e-05
8,12,69.85892486572266,0.4831296503543854,0.7274702341149545,0.0001297731214435771
8,13,21.84521484375,0.4950607419013977,0.7030748130298983,5.062245691078715e-05
8,14,24.393770217895508,0.49929386377334595,0.6945604512099204,3.736987855518237e-05
8,15,39.59661865234375,0.47766709327697754,0.7388412467094692,4.872272984357551e-05
8,16,20.420635223388672,0.4935508370399475,0.7061294121619262,0.00012351467739790678
8,17,9.8832368850708,0.49799734354019165,0.6971605362283526,2.2888207240612246e-05
8,18,17.5793399810791,0.4939655661582947,0.7052894683566652,1.4746226952411234e-05
8,19,26.829782485961914,0.4942958354949951,0.7046210837603565,2.892484189942479e-05
8,20,178.81211853027344,0.49580907821655273,0.7015643493095612,4.866304516326636e-05
8,21,101.12870788574219,0.4939894378185272,0.7052411429569434,6.905588634253945e-06
8,22,35.83577346801758,0.4944295287132263,0.7043506482604984,7.353587534453254e-06
8,23,19.84139060974121,0.4958845376968384,0.7014121662578194,1.3239837244327646e-05
8,24,67.16077423095703,0.49599260091781616,0.7011942698728775,0.00013618121738545597
8,25,28.741762161254883,0.49869608879089355,0.6957584092703308,5.838048764417181e-06
8,26,31.32210350036621,0.48739093542099,0.7186887357871345,4.4660970161203295e-05
8,27,13.87427806854248,0.48575109243392944,0.7220589417638011,5.300568773236591e-06
8,28,63.009521484375,0.4953421354293823,0.7025065724845663,5.7557896070647985e-05
8,29,24.336360931396484,0.49787357449531555,0.6974091006623006,3.475070479908027e-05
16,0,15.24387264251709,0.47828811407089233,0.7375419789686727,1.126229835790582e-05
16,1,64.32581329345703,0.4955841302871704,0.7020181509521652,1.6937930524818512e-07
16,2,30.68950080871582,0.4966431260108948,0.6998835671275275,6.28206180408597e-06
16,3,7.514472484588623,0.4911500811576843,0.7110055336211513,2.1908681446802802e-05
16,4,22.895845413208008,0.49872201681137085,0.6957064189959664,1.9786929783549567e-07
16,5,14.170140266418457,0.49053749442100525,0.7122535616729078,9.396720088261645e-06
16,6,63.23834228515625,0.4985150098800659,0.6961215799431386,7.272989023476839e-05
16,7,14.809537887573242,0.4701152443885803,0.7547774135080735,5.725302798964549e-06
16,8,39.131893157958984,0.4981752336025238,0.6968033891470039,1.5876412362558767e-05
16,9,19.031410217285156,0.47681331634521484,0.740630235044617,4.055728823004756e-06
16,10,20.147022247314453,0.4870837330818176,0.7193192341659609,3.4712095384747954e-06
16,11,27.042911529541016,0.4813016355037689,0.7312611045825038,1.5064557373989373e-05
16,12,12.162331581115723,0.4798411726951599,0.7343001200548628,2.0700173990917392e-05
16,13,54.18485641479492,0.49634891748428345,0.700476136901168,1.768451875250321e-05
16,14,42.142051696777344,0.47532185912132263,0.7437631062633161,1.697205880191177e-05
16,15,10.174775123596191,0.4994441270828247,0.6942595448421077,8.607116797065828e-06
16,16,21.56085777282715,0.4828453063964844,0.7280589532409035,3.19351747748442e-05
16,17,10.256707191467285,0.4930114150047302,0.7072229510396887,1.0161828868149314e-05
16,18,23.292722702026367,0.4919757843017578,0.7093257825999829,4.5772949874844926e-07
16,19,37.861881256103516,0.4955996870994568,0.7019867605843753,9.514172234048601e-06
16,20,19.76432991027832,0.4826347231864929,0.728495178138112,1.2225810678501148e-05
16,21,33.76759719848633,0.4997425377368927,0.6936622377053197,9.339016173726122e-07
16,22,59.08294677734375,0.4882768988609314,0.7168726183497762,8.056763363128994e-07
16,23,151.2056884765625,0.4771888256072998,0.7398430056140639,2.724874320847448e-06
16,24,10.950267791748047,0.4801599383354187,0.7336360257151556,3.686048103190842e-06
16,25,17.136629104614258,0.48317480087280273,0.7273767842329988,1.1248303053434938e-06
16,26,22.66464614868164,0.4869335889816284,0.7196275327926431,3.0128483103908366e-06
16,27,22.227630615234375,0.49821531772613525,0.6967229304883392,9.413598490937147e-06
